wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.028,baseline_heavy,2026/07/08 01:52:03.394,23,2668,40960,53.10
0.559,baseline_heavy,2026/07/08 01:52:03.922,27,2668,40960,61.50
1.088,baseline_heavy,2026/07/08 01:52:04.453,28,2668,40960,60.64
1.617,baseline_heavy,2026/07/08 01:52:04.983,27,2668,40960,60.31
2.148,baseline_heavy,2026/07/08 01:52:05.512,27,2668,40960,60.91
2.677,baseline_heavy,2026/07/08 01:52:06.042,27,2668,40960,60.91
3.207,baseline_heavy,2026/07/08 01:52:06.572,28,2668,40960,61.50
3.736,baseline_heavy,2026/07/08 01:52:07.102,28,2668,40960,62.37
4.266,baseline_heavy,2026/07/08 01:52:07.631,28,2668,40960,61.78
4.796,baseline_heavy,2026/07/08 01:52:08.161,28,2668,40960,60.85
5.325,baseline_heavy,2026/07/08 01:52:08.691,27,2668,40960,61.56
5.855,baseline_heavy,2026/07/08 01:52:09.220,27,2668,40960,61.18
6.384,baseline_heavy,2026/07/08 01:52:09.749,27,2668,40960,60.91
6.914,baseline_heavy,2026/07/08 01:52:10.279,27,2670,40960,60.91
7.443,baseline_heavy,2026/07/08 01:52:10.808,27,2670,40960,60.31
7.972,baseline_heavy,2026/07/08 01:52:11.337,27,2670,40960,61.78
8.502,baseline_heavy,2026/07/08 01:52:11.867,27,2670,40960,60.91
9.031,baseline_heavy,2026/07/08 01:52:12.397,27,2670,40960,60.91
9.561,baseline_heavy,2026/07/08 01:52:12.926,27,2670,40960,60.91
10.09,baseline_heavy,2026/07/08 01:52:13.455,27,2670,40960,61.18
10.619,baseline_heavy,2026/07/08 01:52:13.985,27,2670,40960,61.18
11.148,baseline_heavy,2026/07/08 01:52:14.514,27,2670,40960,61.11
11.679,baseline_heavy,2026/07/08 01:52:15.043,27,2670,40960,60.04
12.208,baseline_heavy,2026/07/08 01:52:15.574,27,2670,40960,61.18
12.737,baseline_heavy,2026/07/08 01:52:16.103,27,2670,40960,60.04
13.267,baseline_heavy,2026/07/08 01:52:16.632,27,2670,40960,61.78
13.796,baseline_heavy,2026/07/08 01:52:17.162,27,2670,40960,60.64
14.326,baseline_heavy,2026/07/08 01:52:17.691,27,2670,40960,61.18
14.856,baseline_heavy,2026/07/08 01:52:18.220,27,2670,40960,60.91
15.385,baseline_heavy,2026/07/08 01:52:18.750,27,2670,40960,61.44
15.914,baseline_heavy,2026/07/08 01:52:19.279,27,2670,40960,61.18
16.445,baseline_heavy,2026/07/08 01:52:19.809,27,2670,40960,60.91
16.974,baseline_heavy,2026/07/08 01:52:20.340,27,2670,40960,62.05
17.505,baseline_heavy,2026/07/08 01:52:20.870,27,2670,40960,61.24
18.035,baseline_heavy,2026/07/08 01:52:21.400,27,2670,40960,60.97
18.564,baseline_heavy,2026/07/08 01:52:21.930,28,2670,40960,61.24
19.094,baseline_heavy,2026/07/08 01:52:22.459,28,2670,40960,58.84
19.623,baseline_heavy,2026/07/08 01:52:22.989,28,2670,40960,61.78
20.153,baseline_heavy,2026/07/08 01:52:23.518,28,2670,40960,60.91
20.682,baseline_heavy,2026/07/08 01:52:24.047,27,2670,40960,58.84
21.212,baseline_heavy,2026/07/08 01:52:24.576,27,2670,40960,60.91
21.741,baseline_heavy,2026/07/08 01:52:25.107,27,2670,40960,61.78
22.271,baseline_heavy,2026/07/08 01:52:25.636,27,2670,40960,61.18
22.8,baseline_heavy,2026/07/08 01:52:26.166,26,2670,40960,61.11
23.329,baseline_heavy,2026/07/08 01:52:26.695,27,2670,40960,61.18
23.858,baseline_heavy,2026/07/08 01:52:27.223,27,2670,40960,60.91
24.389,baseline_heavy,2026/07/08 01:52:27.752,26,2670,40960,60.91
24.918,baseline_heavy,2026/07/08 01:52:28.283,27,2670,40960,61.50
25.447,baseline_heavy,2026/07/08 01:52:28.812,27,2670,40960,61.18
25.976,baseline_heavy,2026/07/08 01:52:29.341,27,2670,40960,61.78
26.505,baseline_heavy,2026/07/08 01:52:29.870,28,2670,40960,61.44
27.034,baseline_heavy,2026/07/08 01:52:30.400,27,2670,40960,60.64
27.564,baseline_heavy,2026/07/08 01:52:30.929,27,2670,40960,61.18
28.093,baseline_heavy,2026/07/08 01:52:31.458,27,2670,40960,61.18
28.623,baseline_heavy,2026/07/08 01:52:31.988,27,2670,40960,62.37
29.153,baseline_heavy,2026/07/08 01:52:32.518,27,2670,40960,61.98
29.682,baseline_heavy,2026/07/08 01:52:33.047,27,2670,40960,61.56
30.212,baseline_heavy,2026/07/08 01:52:33.577,27,2670,40960,60.58
30.741,baseline_heavy,2026/07/08 01:52:34.107,27,2670,40960,61.44
31.27,baseline_heavy,2026/07/08 01:52:34.635,27,2670,40960,60.91
31.799,baseline_heavy,2026/07/08 01:52:35.165,27,2670,40960,60.91
32.328,baseline_heavy,2026/07/08 01:52:35.694,27,2670,40960,60.91
32.859,baseline_heavy,2026/07/08 01:52:36.223,27,2670,40960,60.04
33.388,baseline_heavy,2026/07/08 01:52:36.753,27,2670,40960,61.24
33.918,baseline_heavy,2026/07/08 01:52:37.283,27,2670,40960,60.64
34.447,baseline_heavy,2026/07/08 01:52:37.813,27,2670,40960,60.64
34.976,baseline_heavy,2026/07/08 01:52:38.341,27,2670,40960,60.91
35.505,baseline_heavy,2026/07/08 01:52:38.871,27,2670,40960,61.24
36.036,baseline_heavy,2026/07/08 01:52:39.399,27,2670,40960,61.18
36.565,baseline_heavy,2026/07/08 01:52:39.931,27,2670,40960,61.18
37.094,baseline_heavy,2026/07/08 01:52:40.459,27,2670,40960,60.97
37.623,baseline_heavy,2026/07/08 01:52:40.988,27,2670,40960,60.91
38.153,baseline_heavy,2026/07/08 01:52:41.518,27,2670,40960,61.50
38.683,baseline_heavy,2026/07/08 01:52:42.048,28,2670,40960,59.71
39.212,baseline_heavy,2026/07/08 01:52:42.577,27,2670,40960,62.37
39.742,baseline_heavy,2026/07/08 01:52:43.107,28,2670,40960,62.05
40.271,baseline_heavy,2026/07/08 01:52:43.636,28,2670,40960,60.91
40.8,baseline_heavy,2026/07/08 01:52:44.165,27,2670,40960,61.18
41.33,baseline_heavy,2026/07/08 01:52:44.695,27,2670,40960,62.37
41.859,baseline_heavy,2026/07/08 01:52:45.224,28,2670,40960,61.18
42.388,baseline_heavy,2026/07/08 01:52:45.753,28,2670,40960,61.18
42.917,baseline_heavy,2026/07/08 01:52:46.282,27,2670,40960,60.91
43.446,baseline_heavy,2026/07/08 01:52:46.812,27,2670,40960,62.05
43.976,baseline_heavy,2026/07/08 01:52:47.341,27,2670,40960,60.91
44.505,baseline_heavy,2026/07/08 01:52:47.870,27,2670,40960,60.38
45.034,baseline_heavy,2026/07/08 01:52:48.400,28,2670,40960,60.31
45.563,baseline_heavy,2026/07/08 01:52:48.929,27,2670,40960,61.50
46.094,baseline_heavy,2026/07/08 01:52:49.458,27,2670,40960,61.18
46.623,baseline_heavy,2026/07/08 01:52:49.988,27,2670,40960,60.97
47.152,baseline_heavy,2026/07/08 01:52:50.518,26,2670,40960,60.31
47.682,baseline_heavy,2026/07/08 01:52:51.047,27,2670,40960,60.91
48.212,baseline_heavy,2026/07/08 01:52:51.577,27,2670,40960,61.50
48.741,baseline_heavy,2026/07/08 01:52:52.106,27,2670,40960,61.44
49.271,baseline_heavy,2026/07/08 01:52:52.636,27,2670,40960,61.78
49.8,baseline_heavy,2026/07/08 01:52:53.166,27,2670,40960,61.78
50.329,baseline_heavy,2026/07/08 01:52:53.695,27,2670,40960,60.91
50.86,baseline_heavy,2026/07/08 01:52:54.225,27,2670,40960,60.64
51.389,baseline_heavy,2026/07/08 01:52:54.754,27,2670,40960,60.31
51.919,baseline_heavy,2026/07/08 01:52:55.284,27,2670,40960,61.78
52.449,baseline_heavy,2026/07/08 01:52:55.813,27,2670,40960,61.56
52.978,baseline_heavy,2026/07/08 01:52:56.343,28,2670,40960,61.50
53.507,baseline_heavy,2026/07/08 01:52:56.873,27,2670,40960,61.18
54.038,baseline_heavy,2026/07/08 01:52:57.402,27,2670,40960,60.10
54.567,baseline_heavy,2026/07/08 01:52:57.932,27,2670,40960,61.18
55.097,baseline_heavy,2026/07/08 01:52:58.462,27,2670,40960,60.31
55.627,baseline_heavy,2026/07/08 01:52:58.991,27,2670,40960,60.97
56.156,baseline_heavy,2026/07/08 01:52:59.521,27,2670,40960,61.18
56.685,baseline_heavy,2026/07/08 01:53:00.051,27,2670,40960,61.18
57.216,baseline_heavy,2026/07/08 01:53:00.580,27,2670,40960,61.24
57.745,baseline_heavy,2026/07/08 01:53:01.110,27,2670,40960,61.78
58.275,baseline_heavy,2026/07/08 01:53:01.640,27,2670,40960,61.11
58.805,baseline_heavy,2026/07/08 01:53:02.169,27,2670,40960,61.18
59.335,baseline_heavy,2026/07/08 01:53:02.700,27,2670,40960,60.91
59.864,baseline_heavy,2026/07/08 01:53:03.229,27,2670,40960,61.18
60.394,baseline_heavy,2026/07/08 01:53:03.758,27,2670,40960,60.64
60.923,baseline_heavy,2026/07/08 01:53:04.289,27,2670,40960,61.18
61.452,baseline_heavy,2026/07/08 01:53:04.818,27,2670,40960,61.18
61.983,baseline_heavy,2026/07/08 01:53:05.347,28,2670,40960,59.71
62.512,baseline_heavy,2026/07/08 01:53:05.878,27,2670,40960,61.24
63.041,baseline_heavy,2026/07/08 01:53:06.407,27,2670,40960,60.91
63.572,baseline_heavy,2026/07/08 01:53:06.936,28,2670,40960,60.10
64.102,baseline_heavy,2026/07/08 01:53:07.467,27,2670,40960,60.91
64.631,baseline_heavy,2026/07/08 01:53:07.996,27,2670,40960,62.05
65.161,baseline_heavy,2026/07/08 01:53:08.526,28,2670,40960,62.11
65.69,baseline_heavy,2026/07/08 01:53:09.055,27,2670,40960,60.64
66.219,baseline_heavy,2026/07/08 01:53:09.585,27,2670,40960,60.64
66.75,baseline_heavy,2026/07/08 01:53:10.115,27,2670,40960,60.70
67.279,baseline_heavy,2026/07/08 01:53:10.644,27,2670,40960,60.97
67.808,baseline_heavy,2026/07/08 01:53:11.174,28,2670,40960,62.05
68.338,baseline_heavy,2026/07/08 01:53:11.703,27,2670,40960,60.31
68.867,baseline_heavy,2026/07/08 01:53:12.233,27,2670,40960,60.70
69.396,baseline_heavy,2026/07/08 01:53:12.762,27,2670,40960,60.38
69.925,baseline_heavy,2026/07/08 01:53:13.291,27,2670,40960,60.64
70.455,baseline_heavy,2026/07/08 01:53:13.820,27,2670,40960,60.97
70.983,baseline_heavy,2026/07/08 01:53:14.349,27,2670,40960,60.91
71.514,baseline_heavy,2026/07/08 01:53:14.878,27,2670,40960,61.50
72.043,baseline_heavy,2026/07/08 01:53:15.408,27,2670,40960,60.91
72.572,baseline_heavy,2026/07/08 01:53:15.938,28,2670,40960,61.78
73.102,baseline_heavy,2026/07/08 01:53:16.467,28,2670,40960,60.97
73.631,baseline_heavy,2026/07/08 01:53:16.997,27,2670,40960,61.50
74.161,baseline_heavy,2026/07/08 01:53:17.526,27,2670,40960,61.24
74.69,baseline_heavy,2026/07/08 01:53:18.055,28,2670,40960,61.24
75.22,baseline_heavy,2026/07/08 01:53:18.585,28,2670,40960,62.05
75.749,baseline_heavy,2026/07/08 01:53:19.114,28,2670,40960,61.56
76.28,baseline_heavy,2026/07/08 01:53:19.643,28,2670,40960,61.50
76.809,baseline_heavy,2026/07/08 01:53:20.175,27,2670,40960,60.91
77.339,baseline_heavy,2026/07/08 01:53:20.704,27,2670,40960,59.71
77.868,baseline_heavy,2026/07/08 01:53:21.234,27,2670,40960,60.70
78.397,baseline_heavy,2026/07/08 01:53:21.763,27,2670,40960,61.18
78.926,baseline_heavy,2026/07/08 01:53:22.291,28,2670,40960,61.84
79.457,baseline_heavy,2026/07/08 01:53:22.821,27,2670,40960,61.18
79.986,baseline_heavy,2026/07/08 01:53:23.352,27,2670,40960,60.97
80.516,baseline_heavy,2026/07/08 01:53:23.881,28,2670,40960,61.56
81.046,baseline_heavy,2026/07/08 01:53:24.411,28,2670,40960,60.91
81.575,baseline_heavy,2026/07/08 01:53:24.941,27,2670,40960,60.70
82.104,baseline_heavy,2026/07/08 01:53:25.470,27,2670,40960,60.91
82.634,baseline_heavy,2026/07/08 01:53:25.999,27,2670,40960,60.31
83.163,baseline_heavy,2026/07/08 01:53:26.528,27,2670,40960,61.24
83.693,baseline_heavy,2026/07/08 01:53:27.059,27,2670,40960,61.24
84.223,baseline_heavy,2026/07/08 01:53:27.588,27,2670,40960,61.24
84.753,baseline_heavy,2026/07/08 01:53:28.117,28,2670,40960,60.97
85.281,baseline_heavy,2026/07/08 01:53:28.647,27,2670,40960,61.84
85.811,baseline_heavy,2026/07/08 01:53:29.176,27,2670,40960,60.91
86.34,baseline_heavy,2026/07/08 01:53:29.705,28,2670,40960,61.24
86.869,baseline_heavy,2026/07/08 01:53:30.234,27,2670,40960,60.97
