wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.027,baseline_light,2026/07/08 01:50:43.242,0,2572,40960,50.38
0.555,baseline_light,2026/07/08 01:50:43.770,2,2658,40960,49.24
1.083,baseline_light,2026/07/08 01:50:44.297,0,2666,40960,49.24
1.615,baseline_light,2026/07/08 01:50:44.826,5,2666,40960,58.84
2.144,baseline_light,2026/07/08 01:50:45.358,27,2668,40960,60.91
2.673,baseline_light,2026/07/08 01:50:45.887,27,2668,40960,60.31
3.204,baseline_light,2026/07/08 01:50:46.415,27,2668,40960,58.90
3.732,baseline_light,2026/07/08 01:50:46.946,26,2668,40960,60.64
4.261,baseline_light,2026/07/08 01:50:47.475,27,2668,40960,61.50
4.792,baseline_light,2026/07/08 01:50:48.005,27,2668,40960,60.31
5.321,baseline_light,2026/07/08 01:50:48.534,27,2668,40960,60.91
5.85,baseline_light,2026/07/08 01:50:49.063,27,2668,40960,57.71
6.378,baseline_light,2026/07/08 01:50:49.592,27,2668,40960,60.91
6.908,baseline_light,2026/07/08 01:50:50.121,21,2668,40960,61.18
7.437,baseline_light,2026/07/08 01:50:50.650,27,2668,40960,60.91
7.966,baseline_light,2026/07/08 01:50:51.179,27,2668,40960,60.64
8.495,baseline_light,2026/07/08 01:50:51.708,27,2668,40960,60.91
9.024,baseline_light,2026/07/08 01:50:52.237,26,2668,40960,60.91
9.553,baseline_light,2026/07/08 01:50:52.766,26,2668,40960,61.50
10.082,baseline_light,2026/07/08 01:50:53.295,27,2668,40960,60.91
10.613,baseline_light,2026/07/08 01:50:53.825,27,2668,40960,61.56
11.142,baseline_light,2026/07/08 01:50:54.355,27,2668,40960,60.91
11.671,baseline_light,2026/07/08 01:50:54.885,27,2668,40960,61.24
12.202,baseline_light,2026/07/08 01:50:55.415,27,2668,40960,61.24
12.731,baseline_light,2026/07/08 01:50:55.945,26,2668,40960,60.04
13.261,baseline_light,2026/07/08 01:50:56.474,27,2668,40960,60.97
13.79,baseline_light,2026/07/08 01:50:57.003,28,2668,40960,60.70
14.319,baseline_light,2026/07/08 01:50:57.532,27,2668,40960,60.91
14.848,baseline_light,2026/07/08 01:50:58.061,28,2668,40960,61.56
15.376,baseline_light,2026/07/08 01:50:58.590,28,2668,40960,61.50
15.906,baseline_light,2026/07/08 01:50:59.119,27,2668,40960,60.97
16.434,baseline_light,2026/07/08 01:50:59.648,27,2668,40960,61.18
16.963,baseline_light,2026/07/08 01:51:00.177,27,2668,40960,61.18
17.492,baseline_light,2026/07/08 01:51:00.706,27,2668,40960,61.18
18.022,baseline_light,2026/07/08 01:51:01.235,27,2668,40960,60.31
18.551,baseline_light,2026/07/08 01:51:01.765,27,2668,40960,61.50
19.08,baseline_light,2026/07/08 01:51:02.294,26,2668,40960,60.97
19.611,baseline_light,2026/07/08 01:51:02.823,27,2668,40960,60.31
20.14,baseline_light,2026/07/08 01:51:03.354,27,2668,40960,60.91
