wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.029,batched_heavy,2026/07/08 01:54:51.115,4,2676,40960,49.52
0.558,batched_heavy,2026/07/08 01:54:51.646,28,2676,40960,61.50
1.087,batched_heavy,2026/07/08 01:54:52.175,28,2676,40960,61.18
1.617,batched_heavy,2026/07/08 01:54:52.705,27,2676,40960,60.31
2.146,batched_heavy,2026/07/08 01:54:53.234,28,2676,40960,61.18
2.675,batched_heavy,2026/07/08 01:54:53.763,28,2676,40960,59.17
3.204,batched_heavy,2026/07/08 01:54:54.292,28,2676,40960,60.31
3.733,batched_heavy,2026/07/08 01:54:54.821,28,2676,40960,59.71
4.263,batched_heavy,2026/07/08 01:54:55.350,28,2676,40960,59.17
4.792,batched_heavy,2026/07/08 01:54:55.880,28,2678,40960,59.71
5.321,batched_heavy,2026/07/08 01:54:56.409,29,2680,40960,59.17
5.851,batched_heavy,2026/07/08 01:54:56.938,29,2682,40960,60.38
6.38,batched_heavy,2026/07/08 01:54:57.468,28,2682,40960,58.90
6.909,batched_heavy,2026/07/08 01:54:57.997,28,2682,40960,58.84
7.438,batched_heavy,2026/07/08 01:54:58.526,28,2682,40960,59.44
7.969,batched_heavy,2026/07/08 01:54:59.055,28,2682,40960,60.31
8.498,batched_heavy,2026/07/08 01:54:59.586,28,2682,40960,59.71
9.028,batched_heavy,2026/07/08 01:55:00.115,29,2682,40960,59.71
9.557,batched_heavy,2026/07/08 01:55:00.644,29,2682,40960,60.10
10.086,batched_heavy,2026/07/08 01:55:01.174,28,2682,40960,60.04
10.616,batched_heavy,2026/07/08 01:55:01.703,28,2682,40960,59.24
11.146,batched_heavy,2026/07/08 01:55:02.233,28,2682,40960,59.17
11.676,batched_heavy,2026/07/08 01:55:02.763,28,2682,40960,59.78
12.205,batched_heavy,2026/07/08 01:55:03.293,29,2682,40960,60.91
12.735,batched_heavy,2026/07/08 01:55:03.822,28,2682,40960,59.44
13.264,batched_heavy,2026/07/08 01:55:04.352,28,2682,40960,59.17
13.793,batched_heavy,2026/07/08 01:55:04.881,27,2682,40960,59.17
14.324,batched_heavy,2026/07/08 01:55:05.410,27,2682,40960,59.44
14.853,batched_heavy,2026/07/08 01:55:05.940,28,2682,40960,60.91
15.382,batched_heavy,2026/07/08 01:55:06.470,28,2682,40960,60.04
15.912,batched_heavy,2026/07/08 01:55:06.999,29,2682,40960,59.17
16.441,batched_heavy,2026/07/08 01:55:07.529,29,2682,40960,61.18
16.971,batched_heavy,2026/07/08 01:55:08.058,29,2682,40960,60.04
17.501,batched_heavy,2026/07/08 01:55:08.588,29,2684,40960,60.04
18.03,batched_heavy,2026/07/08 01:55:09.118,27,2684,40960,59.44
18.56,batched_heavy,2026/07/08 01:55:09.647,28,2684,40960,59.71
19.09,batched_heavy,2026/07/08 01:55:10.177,28,2684,40960,59.78
19.619,batched_heavy,2026/07/08 01:55:10.707,29,2684,40960,60.64
20.148,batched_heavy,2026/07/08 01:55:11.236,27,2684,40960,59.51
20.678,batched_heavy,2026/07/08 01:55:11.765,28,2684,40960,53.10
21.207,batched_heavy,2026/07/08 01:55:12.295,28,2684,40960,59.71
21.737,batched_heavy,2026/07/08 01:55:12.824,28,2684,40960,60.31
22.267,batched_heavy,2026/07/08 01:55:13.353,28,2684,40960,60.04
22.796,batched_heavy,2026/07/08 01:55:13.884,28,2684,40960,60.31
23.325,batched_heavy,2026/07/08 01:55:14.413,28,2684,40960,60.04
23.856,batched_heavy,2026/07/08 01:55:14.942,28,2684,40960,60.31
24.385,batched_heavy,2026/07/08 01:55:15.472,20,2684,40960,58.84
24.914,batched_heavy,2026/07/08 01:55:16.002,28,2684,40960,59.17
25.444,batched_heavy,2026/07/08 01:55:16.531,28,2684,40960,59.44
25.973,batched_heavy,2026/07/08 01:55:17.061,28,2684,40960,60.31
26.502,batched_heavy,2026/07/08 01:55:17.590,28,2684,40960,59.24
27.032,batched_heavy,2026/07/08 01:55:18.119,29,2684,40960,59.44
27.561,batched_heavy,2026/07/08 01:55:18.649,29,2684,40960,60.31
28.091,batched_heavy,2026/07/08 01:55:19.179,29,2684,40960,59.71
28.62,batched_heavy,2026/07/08 01:55:19.708,28,2684,40960,59.17
29.148,batched_heavy,2026/07/08 01:55:20.237,28,2684,40960,60.97
29.677,batched_heavy,2026/07/08 01:55:20.765,28,2684,40960,59.44
30.206,batched_heavy,2026/07/08 01:55:21.294,29,2684,40960,59.71
30.735,batched_heavy,2026/07/08 01:55:21.823,28,2684,40960,59.44
31.265,batched_heavy,2026/07/08 01:55:22.352,29,2684,40960,60.31
31.796,batched_heavy,2026/07/08 01:55:22.882,29,2684,40960,60.91
32.325,batched_heavy,2026/07/08 01:55:23.413,27,2684,40960,59.51
32.854,batched_heavy,2026/07/08 01:55:23.942,27,2684,40960,59.78
33.383,batched_heavy,2026/07/08 01:55:24.471,28,2684,40960,58.30
33.912,batched_heavy,2026/07/08 01:55:25.000,27,2684,40960,59.51
34.442,batched_heavy,2026/07/08 01:55:25.529,28,2684,40960,59.71
34.971,batched_heavy,2026/07/08 01:55:26.059,29,2684,40960,59.11
35.501,batched_heavy,2026/07/08 01:55:26.588,29,2684,40960,61.18
36.03,batched_heavy,2026/07/08 01:55:27.118,30,2684,40960,59.71
36.559,batched_heavy,2026/07/08 01:55:27.647,27,2684,40960,59.17
37.089,batched_heavy,2026/07/08 01:55:28.177,27,2684,40960,58.84
37.618,batched_heavy,2026/07/08 01:55:28.706,27,2684,40960,60.64
38.147,batched_heavy,2026/07/08 01:55:29.235,28,2684,40960,60.04
38.676,batched_heavy,2026/07/08 01:55:29.764,28,2684,40960,59.44
39.206,batched_heavy,2026/07/08 01:55:30.293,28,2684,40960,60.31
39.736,batched_heavy,2026/07/08 01:55:30.823,28,2684,40960,60.64
40.266,batched_heavy,2026/07/08 01:55:31.353,27,2684,40960,59.24
40.796,batched_heavy,2026/07/08 01:55:31.883,27,2684,40960,58.30
41.325,batched_heavy,2026/07/08 01:55:32.413,27,2684,40960,59.17
41.855,batched_heavy,2026/07/08 01:55:32.942,28,2684,40960,60.04
42.384,batched_heavy,2026/07/08 01:55:33.472,28,2684,40960,59.65
42.914,batched_heavy,2026/07/08 01:55:34.002,28,2684,40960,59.71
43.443,batched_heavy,2026/07/08 01:55:34.530,28,2684,40960,59.44
43.972,batched_heavy,2026/07/08 01:55:35.059,27,2684,40960,58.57
44.501,batched_heavy,2026/07/08 01:55:35.589,27,2684,40960,58.84
45.03,batched_heavy,2026/07/08 01:55:36.118,27,2684,40960,59.11
45.56,batched_heavy,2026/07/08 01:55:36.647,28,2684,40960,60.38
46.089,batched_heavy,2026/07/08 01:55:37.177,28,2684,40960,58.84
46.619,batched_heavy,2026/07/08 01:55:37.706,28,2684,40960,59.38
47.148,batched_heavy,2026/07/08 01:55:38.236,27,2684,40960,59.44
47.677,batched_heavy,2026/07/08 01:55:38.765,28,2684,40960,59.71
48.207,batched_heavy,2026/07/08 01:55:39.294,28,2684,40960,60.04
48.736,batched_heavy,2026/07/08 01:55:39.824,25,2684,40960,59.44
49.266,batched_heavy,2026/07/08 01:55:40.353,28,2684,40960,60.38
49.795,batched_heavy,2026/07/08 01:55:40.883,28,2684,40960,60.04
50.325,batched_heavy,2026/07/08 01:55:41.412,28,2684,40960,59.17
50.854,batched_heavy,2026/07/08 01:55:41.942,28,2684,40960,59.17
51.384,batched_heavy,2026/07/08 01:55:42.471,29,2684,40960,59.71
51.913,batched_heavy,2026/07/08 01:55:43.001,29,2684,40960,59.51
52.442,batched_heavy,2026/07/08 01:55:43.530,28,2684,40960,62.05
52.972,batched_heavy,2026/07/08 01:55:44.059,28,2684,40960,61.78
53.501,batched_heavy,2026/07/08 01:55:44.589,27,2684,40960,61.24
54.031,batched_heavy,2026/07/08 01:55:45.118,28,2684,40960,60.91
54.56,batched_heavy,2026/07/08 01:55:45.648,28,2684,40960,60.91
55.089,batched_heavy,2026/07/08 01:55:46.177,28,2684,40960,60.64
55.618,batched_heavy,2026/07/08 01:55:46.706,28,2684,40960,62.05
56.149,batched_heavy,2026/07/08 01:55:47.236,28,2684,40960,62.05
56.678,batched_heavy,2026/07/08 01:55:47.766,28,2684,40960,61.50
57.207,batched_heavy,2026/07/08 01:55:48.295,27,2684,40960,58.84
57.737,batched_heavy,2026/07/08 01:55:48.825,27,2684,40960,59.44
58.266,batched_heavy,2026/07/08 01:55:49.354,28,2684,40960,58.84
58.796,batched_heavy,2026/07/08 01:55:49.883,28,2684,40960,59.71
59.325,batched_heavy,2026/07/08 01:55:50.413,29,2684,40960,60.04
59.855,batched_heavy,2026/07/08 01:55:50.943,29,2684,40960,60.31
60.385,batched_heavy,2026/07/08 01:55:51.472,29,2684,40960,60.70
60.914,batched_heavy,2026/07/08 01:55:52.002,27,2684,40960,59.24
61.443,batched_heavy,2026/07/08 01:55:52.531,28,2684,40960,59.24
61.972,batched_heavy,2026/07/08 01:55:53.060,27,2684,40960,59.71
62.503,batched_heavy,2026/07/08 01:55:53.590,28,2684,40960,60.04
63.032,batched_heavy,2026/07/08 01:55:54.120,28,2684,40960,59.97
63.562,batched_heavy,2026/07/08 01:55:54.649,28,2684,40960,59.71
64.091,batched_heavy,2026/07/08 01:55:55.179,28,2684,40960,59.17
64.621,batched_heavy,2026/07/08 01:55:55.709,28,2684,40960,59.17
65.15,batched_heavy,2026/07/08 01:55:56.238,28,2684,40960,58.90
65.68,batched_heavy,2026/07/08 01:55:56.767,28,2684,40960,59.71
66.21,batched_heavy,2026/07/08 01:55:57.298,28,2684,40960,59.17
66.74,batched_heavy,2026/07/08 01:55:57.827,28,2684,40960,60.38
67.27,batched_heavy,2026/07/08 01:55:58.357,27,2684,40960,60.04
67.799,batched_heavy,2026/07/08 01:55:58.886,27,2684,40960,59.78
68.328,batched_heavy,2026/07/08 01:55:59.416,28,2684,40960,59.78
68.857,batched_heavy,2026/07/08 01:55:59.944,28,2684,40960,60.04
69.387,batched_heavy,2026/07/08 01:56:00.474,28,2684,40960,59.78
69.916,batched_heavy,2026/07/08 01:56:01.004,29,2684,40960,59.24
70.446,batched_heavy,2026/07/08 01:56:01.533,28,2684,40960,60.10
70.976,batched_heavy,2026/07/08 01:56:02.063,28,2684,40960,59.17
71.505,batched_heavy,2026/07/08 01:56:02.593,28,2684,40960,59.51
72.034,batched_heavy,2026/07/08 01:56:03.122,29,2684,40960,60.10
72.564,batched_heavy,2026/07/08 01:56:03.651,29,2684,40960,59.17
73.093,batched_heavy,2026/07/08 01:56:04.181,29,2684,40960,59.44
73.624,batched_heavy,2026/07/08 01:56:04.711,29,2684,40960,58.57
74.153,batched_heavy,2026/07/08 01:56:05.241,29,2684,40960,60.31
74.683,batched_heavy,2026/07/08 01:56:05.770,27,2684,40960,59.17
75.212,batched_heavy,2026/07/08 01:56:06.300,28,2684,40960,59.51
75.741,batched_heavy,2026/07/08 01:56:06.829,28,2684,40960,59.17
76.27,batched_heavy,2026/07/08 01:56:07.358,29,2684,40960,60.04
76.8,batched_heavy,2026/07/08 01:56:07.887,28,2684,40960,59.71
77.33,batched_heavy,2026/07/08 01:56:08.417,29,2684,40960,60.31
77.859,batched_heavy,2026/07/08 01:56:08.947,29,2684,40960,60.91
78.388,batched_heavy,2026/07/08 01:56:09.476,29,2684,40960,58.84
78.917,batched_heavy,2026/07/08 01:56:10.005,28,2684,40960,59.44
79.447,batched_heavy,2026/07/08 01:56:10.534,28,2684,40960,58.84
79.976,batched_heavy,2026/07/08 01:56:11.064,27,2684,40960,60.04
