wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.026,batched_light,2026/07/08 01:53:54.720,0,2572,40960,49.29
0.554,batched_light,2026/07/08 01:53:55.247,2,2664,40960,49.52
1.084,batched_light,2026/07/08 01:53:55.775,21,2666,40960,61.50
1.611,batched_light,2026/07/08 01:53:56.304,28,2668,40960,61.56
2.142,batched_light,2026/07/08 01:53:56.832,26,2668,40960,58.90
2.671,batched_light,2026/07/08 01:53:57.363,27,2670,40960,59.17
3.2,batched_light,2026/07/08 01:53:57.891,28,2670,40960,60.64
3.728,batched_light,2026/07/08 01:53:58.421,28,2670,40960,60.31
4.257,batched_light,2026/07/08 01:53:58.949,28,2670,40960,62.31
4.786,batched_light,2026/07/08 01:53:59.478,18,2670,40960,59.44
5.315,batched_light,2026/07/08 01:54:00.007,27,2670,40960,58.57
5.844,batched_light,2026/07/08 01:54:00.535,24,2670,40960,56.90
6.373,batched_light,2026/07/08 01:54:01.065,28,2670,40960,59.71
6.902,batched_light,2026/07/08 01:54:01.593,16,2670,40960,61.18
7.432,batched_light,2026/07/08 01:54:02.122,27,2670,40960,61.50
7.961,batched_light,2026/07/08 01:54:02.652,24,2670,40960,59.44
8.491,batched_light,2026/07/08 01:54:03.182,27,2670,40960,58.90
9.021,batched_light,2026/07/08 01:54:03.712,27,2670,40960,57.98
9.55,batched_light,2026/07/08 01:54:04.242,28,2670,40960,60.10
10.079,batched_light,2026/07/08 01:54:04.770,27,2670,40960,58.84
10.61,batched_light,2026/07/08 01:54:05.300,27,2670,40960,59.44
