wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.028,dynamic_heavy,2026/07/08 01:57:21.339,0,2680,40960,49.52
0.558,dynamic_heavy,2026/07/08 01:57:21.868,28,2680,40960,61.11
1.087,dynamic_heavy,2026/07/08 01:57:22.398,28,2680,40960,62.64
1.616,dynamic_heavy,2026/07/08 01:57:22.927,28,2680,40960,61.18
2.146,dynamic_heavy,2026/07/08 01:57:23.456,28,2680,40960,61.50
2.676,dynamic_heavy,2026/07/08 01:57:23.986,28,2680,40960,61.50
3.205,dynamic_heavy,2026/07/08 01:57:24.516,29,2680,40960,59.78
3.735,dynamic_heavy,2026/07/08 01:57:25.045,28,2680,40960,60.91
4.265,dynamic_heavy,2026/07/08 01:57:25.575,28,2680,40960,61.18
4.795,dynamic_heavy,2026/07/08 01:57:26.105,25,2680,40960,59.78
5.324,dynamic_heavy,2026/07/08 01:57:26.635,28,2680,40960,60.91
5.854,dynamic_heavy,2026/07/08 01:57:27.164,28,2682,40960,60.91
6.382,dynamic_heavy,2026/07/08 01:57:27.694,30,2688,40960,61.84
6.911,dynamic_heavy,2026/07/08 01:57:28.222,31,2692,40960,62.05
7.44,dynamic_heavy,2026/07/08 01:57:28.751,27,2696,40960,59.71
7.969,dynamic_heavy,2026/07/08 01:57:29.280,29,2696,40960,59.78
8.499,dynamic_heavy,2026/07/08 01:57:29.810,29,2696,40960,61.18
9.03,dynamic_heavy,2026/07/08 01:57:30.340,30,2696,40960,60.70
9.559,dynamic_heavy,2026/07/08 01:57:30.870,30,2696,40960,61.18
10.088,dynamic_heavy,2026/07/08 01:57:31.399,30,2696,40960,60.91
10.617,dynamic_heavy,2026/07/08 01:57:31.928,31,2696,40960,62.05
11.146,dynamic_heavy,2026/07/08 01:57:32.457,31,2702,40960,60.91
11.676,dynamic_heavy,2026/07/08 01:57:32.986,29,2702,40960,60.04
12.205,dynamic_heavy,2026/07/08 01:57:33.516,29,2702,40960,60.91
12.734,dynamic_heavy,2026/07/08 01:57:34.045,29,2702,40960,60.64
13.265,dynamic_heavy,2026/07/08 01:57:34.575,27,2702,40960,61.18
13.794,dynamic_heavy,2026/07/08 01:57:35.105,31,2702,40960,62.05
14.324,dynamic_heavy,2026/07/08 01:57:35.634,28,2702,40960,59.44
14.853,dynamic_heavy,2026/07/08 01:57:36.164,29,2702,40960,59.44
15.383,dynamic_heavy,2026/07/08 01:57:36.693,28,2702,40960,60.91
15.912,dynamic_heavy,2026/07/08 01:57:37.223,29,2702,40960,60.31
16.443,dynamic_heavy,2026/07/08 01:57:37.753,30,2702,40960,61.18
16.972,dynamic_heavy,2026/07/08 01:57:38.283,30,2702,40960,62.05
17.502,dynamic_heavy,2026/07/08 01:57:38.813,30,2702,40960,61.78
18.032,dynamic_heavy,2026/07/08 01:57:39.342,28,2702,40960,61.18
18.562,dynamic_heavy,2026/07/08 01:57:39.872,28,2702,40960,61.78
19.091,dynamic_heavy,2026/07/08 01:57:40.402,28,2702,40960,61.84
19.621,dynamic_heavy,2026/07/08 01:57:40.931,29,2702,40960,60.64
20.15,dynamic_heavy,2026/07/08 01:57:41.461,29,2702,40960,62.44
20.679,dynamic_heavy,2026/07/08 01:57:41.990,29,2702,40960,62.05
21.209,dynamic_heavy,2026/07/08 01:57:42.520,26,2702,40960,61.84
21.739,dynamic_heavy,2026/07/08 01:57:43.049,29,2702,40960,60.64
