wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.027,dynamic_light,2026/07/08 01:56:27.631,0,2572,40960,50.71
0.555,dynamic_light,2026/07/08 01:56:28.158,1,2666,40960,49.52
1.085,dynamic_light,2026/07/08 01:56:28.687,28,2666,40960,61.50
1.617,dynamic_light,2026/07/08 01:56:29.216,19,2668,40960,60.31
2.145,dynamic_light,2026/07/08 01:56:29.748,27,2668,40960,58.84
2.674,dynamic_light,2026/07/08 01:56:30.277,25,2670,40960,59.44
3.204,dynamic_light,2026/07/08 01:56:30.806,27,2670,40960,58.30
3.734,dynamic_light,2026/07/08 01:56:31.336,23,2670,40960,60.31
4.263,dynamic_light,2026/07/08 01:56:31.866,28,2670,40960,60.31
4.792,dynamic_light,2026/07/08 01:56:32.394,27,2670,40960,61.78
5.321,dynamic_light,2026/07/08 01:56:32.923,25,2670,40960,61.18
5.849,dynamic_light,2026/07/08 01:56:33.452,29,2670,40960,61.78
6.378,dynamic_light,2026/07/08 01:56:33.980,27,2670,40960,58.84
6.907,dynamic_light,2026/07/08 01:56:34.510,26,2670,40960,59.17
7.436,dynamic_light,2026/07/08 01:56:35.039,27,2670,40960,59.71
7.965,dynamic_light,2026/07/08 01:56:35.568,27,2670,40960,58.57
8.495,dynamic_light,2026/07/08 01:56:36.097,27,2670,40960,59.44
9.025,dynamic_light,2026/07/08 01:56:36.627,28,2670,40960,60.04
9.555,dynamic_light,2026/07/08 01:56:37.157,28,2670,40960,59.71
10.085,dynamic_light,2026/07/08 01:56:37.688,27,2670,40960,58.84
10.615,dynamic_light,2026/07/08 01:56:38.217,16,2670,40960,60.91
11.145,dynamic_light,2026/07/08 01:56:38.746,28,2670,40960,61.18
11.674,dynamic_light,2026/07/08 01:56:39.277,28,2670,40960,58.84
12.204,dynamic_light,2026/07/08 01:56:39.806,28,2670,40960,56.52
12.733,dynamic_light,2026/07/08 01:56:40.335,27,2670,40960,58.30
13.263,dynamic_light,2026/07/08 01:56:40.865,21,2670,40960,59.17
13.792,dynamic_light,2026/07/08 01:56:41.394,27,2670,40960,58.57
