-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         model_generate         0.00%       0.000us         0.00%       0.000us       0.000us      51.276ms       822.90%      51.276ms      51.276ms           0 B           0 B           0 B           0 B             1  
                                         model_generate        36.13%      20.493ms        99.98%      56.702ms      56.702ms       0.000us         0.00%       6.233ms       6.233ms           0 B         -24 B           0 B    -215.26 MB             1  
                                           aten::matmul         2.33%       1.323ms        16.07%       9.116ms      58.438us       0.000us         0.00%       2.795ms      17.916us           0 B           0 B      48.38 MB           0 B           156  
                                           aten::linear         1.01%     573.584us        19.03%      10.793ms      69.633us       0.000us         0.00%       2.791ms      18.004us           0 B           0 B      48.37 MB           0 B           155  
                                               aten::mm         8.64%       4.898ms        12.40%       7.034ms      45.380us       2.791ms        44.79%       2.791ms      18.004us           0 B           0 B      48.37 MB      48.37 MB           155  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.182ms        18.96%       1.182ms      26.257us           0 B           0 B           0 B           0 B            45  
                                              aten::mul         4.47%       2.537ms         7.16%       4.059ms      19.898us     850.074us        13.64%     850.074us       4.167us           0 B           0 B      61.28 MB      61.28 MB           204  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     604.604us         9.70%     604.604us      13.741us           0 B           0 B           0 B           0 B            44  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     603.517us         9.69%     603.517us       4.538us           0 B           0 B           0 B           0 B           133  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     554.081us         8.89%     554.081us      25.186us           0 B           0 B           0 B           0 B            22  
                                              aten::cat         2.09%       1.188ms         3.41%       1.936ms      21.048us     512.547us         8.23%     512.547us       5.571us           0 B           0 B       7.58 MB       7.58 MB            92  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     497.251us         7.98%     497.251us       5.651us           0 B           0 B           0 B           0 B            88  
                                              aten::add         3.15%       1.788ms         4.90%       2.778ms      20.423us     435.268us         6.99%     435.268us       3.200us           0 B           0 B      17.21 MB      17.21 MB           136  
                                             aten::mean         1.32%     750.249us         1.92%       1.090ms      24.216us     417.921us         6.71%     417.921us       9.287us           0 B           0 B      22.50 KB      22.50 KB            45  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     417.921us         6.71%     417.921us       9.287us           0 B           0 B           0 B           0 B            45  
                                            aten::copy_         2.08%       1.178ms         7.53%       4.271ms      28.667us     355.388us         5.70%     357.021us       2.396us           0 B           0 B           0 B           0 B           149  
                                               aten::to         0.56%     318.618us        11.13%       6.313ms      31.883us       0.000us         0.00%     342.653us       1.731us           0 B           0 B      34.26 MB           0 B           198  
                                         aten::_to_copy         1.62%     921.189us        10.57%       5.994ms      42.213us       0.000us         0.00%     342.653us       2.413us           0 B           0 B      34.26 MB           0 B           142  
                     aten::scaled_dot_product_attention         0.70%     394.173us         4.15%       2.355ms     107.049us       0.000us         0.00%     282.210us      12.828us           0 B           0 B       5.50 MB    -198.00 KB            22  
              aten::_scaled_dot_product_flash_attention         0.37%     211.417us         3.46%       1.961ms      89.132us       0.000us         0.00%     282.210us      12.828us           0 B           0 B       5.69 MB           0 B            22  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 56.715ms
Self CUDA time total: 6.231ms
