wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.028,sla_light,2026/07/10 18:20:32.914,92,37306,40960,228.82
0.558,sla_light,2026/07/10 18:20:33.444,89,37306,40960,222.49
1.089,sla_light,2026/07/10 18:20:33.975,92,37306,40960,234.35
1.619,sla_light,2026/07/10 18:20:34.505,92,37306,40960,226.18
2.151,sla_light,2026/07/10 18:20:35.036,91,37306,40960,233.22
2.683,sla_light,2026/07/10 18:20:35.568,92,37306,40960,235.54
3.213,sla_light,2026/07/10 18:20:36.099,92,37306,40960,229.96
3.744,sla_light,2026/07/10 18:20:36.629,92,37306,40960,228.59
4.276,sla_light,2026/07/10 18:20:37.160,92,37306,40960,234.95
4.807,sla_light,2026/07/10 18:20:37.692,91,37306,40960,226.18
5.339,sla_light,2026/07/10 18:20:38.224,92,37306,40960,234.33
5.87,sla_light,2026/07/10 18:20:38.755,91,37306,40960,227.64
6.401,sla_light,2026/07/10 18:20:39.286,92,37306,40960,224.18
6.932,sla_light,2026/07/10 18:20:39.817,91,37306,40960,236.99
7.463,sla_light,2026/07/10 18:20:40.348,91,37306,40960,231.17
7.994,sla_light,2026/07/10 18:20:40.879,92,37306,40960,235.21
