wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.029,sla_medium,2026/07/10 18:20:43.806,89,37306,40960,230.58
0.561,sla_medium,2026/07/10 18:20:44.336,92,37306,40960,235.54
1.091,sla_medium,2026/07/10 18:20:44.868,92,37306,40960,229.12
1.622,sla_medium,2026/07/10 18:20:45.398,91,37306,40960,238.39
2.153,sla_medium,2026/07/10 18:20:45.928,92,37306,40960,228.85
2.684,sla_medium,2026/07/10 18:20:46.459,92,37306,40960,237.53
3.209,sla_medium,2026/07/10 18:20:46.990,92,37306,40960,235.80
3.74,sla_medium,2026/07/10 18:20:47.516,92,37306,40960,230.04
4.271,sla_medium,2026/07/10 18:20:48.046,90,37306,40960,238.12
4.802,sla_medium,2026/07/10 18:20:48.577,92,37306,40960,232.36
5.333,sla_medium,2026/07/10 18:20:49.109,92,37306,40960,235.80
5.865,sla_medium,2026/07/10 18:20:49.640,91,37306,40960,236.07
6.399,sla_medium,2026/07/10 18:20:50.171,92,37306,40960,228.26
6.929,sla_medium,2026/07/10 18:20:50.705,92,37306,40960,238.12
7.461,sla_medium,2026/07/10 18:20:51.236,92,37306,40960,228.85
7.991,sla_medium,2026/07/10 18:20:51.767,92,37306,40960,236.07
