wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.027,vllm_light,2026/07/08 20:35:58.993,0,37562,40960,51.20
0.557,vllm_light,2026/07/08 20:35:59.520,92,37562,40960,230.44
1.088,vllm_light,2026/07/08 20:36:00.050,90,37562,40960,227.87
1.618,vllm_light,2026/07/08 20:36:00.581,91,37562,40960,233.11
2.15,vllm_light,2026/07/08 20:36:01.112,92,37562,40960,228.43
2.681,vllm_light,2026/07/08 20:36:01.643,92,37562,40960,236.27
3.209,vllm_light,2026/07/08 20:36:02.174,78,37562,40960,230.16
3.741,vllm_light,2026/07/08 20:36:02.703,92,37562,40960,233.11
4.272,vllm_light,2026/07/08 20:36:03.234,90,37562,40960,232.85
4.803,vllm_light,2026/07/08 20:36:03.766,92,37562,40960,225.78
5.335,vllm_light,2026/07/08 20:36:04.297,92,37562,40960,226.98
5.866,vllm_light,2026/07/08 20:36:04.828,92,37562,40960,235.41
