-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         model_generate         0.00%       0.000us         0.00%       0.000us       0.000us        2.109s       394.66%        2.109s        2.109s           0 B           0 B           0 B           0 B             1  
                                         model_generate        29.50%     623.527ms       100.00%        2.113s        2.113s       0.000us         0.00%     534.740ms     534.740ms           0 B        -288 B           0 B      -2.48 GB             1  
                                           aten::matmul         2.64%      55.821ms        19.73%     416.894ms      57.646us       0.000us         0.00%     401.022ms      55.451us           0 B           0 B     501.36 MB           0 B          7232  
                                           aten::linear         1.07%      22.675ms        23.47%     495.961ms      68.884us       0.000us         0.00%     400.945ms      55.687us           0 B           0 B     501.31 MB           0 B          7200  
                                               aten::mm        10.48%     221.502ms        15.54%     328.523ms      45.628us     400.845ms        74.99%     400.945ms      55.687us           0 B           0 B     501.31 MB     501.31 MB          7200  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     189.737ms        35.50%     189.737ms      95.633us           0 B           0 B           0 B           0 B          1984  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     156.571ms        29.29%     156.571ms      51.504us           0 B           0 B           0 B           0 B          3040  
                                              aten::mul         5.37%     113.448ms         8.60%     181.742ms      19.318us      35.831ms         6.70%      35.831ms       3.809us           0 B           0 B     568.62 MB     568.62 MB          9408  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      25.816ms         4.83%      25.816ms       4.180us           0 B           0 B           0 B           0 B          6176  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us      21.186ms         3.96%      21.186ms      10.679us           0 B           0 B           0 B           0 B          1984  
                                              aten::cat         2.48%      52.468ms         4.25%      89.842ms      21.269us      20.618ms         3.86%      20.622ms       4.882us           0 B           0 B     562.96 MB     562.96 MB          4224  
                                              aten::add         3.67%      77.541ms         5.88%     124.213ms      19.804us      15.236ms         2.85%      15.236ms       2.429us           0 B           0 B     153.81 MB     153.81 MB          6272  
                                            aten::copy_         2.00%      42.172ms         3.96%      83.698ms      18.521us      15.101ms         2.83%      15.102ms       3.342us           0 B           0 B           0 B           0 B          4519  
                                               aten::to         0.53%      11.098ms         7.14%     150.962ms      22.542us       0.000us         0.00%      14.859ms       2.219us           0 B           0 B     302.17 MB           0 B          6697  
                                         aten::_to_copy         1.38%      29.066ms         6.62%     139.864ms      31.651us       0.000us         0.00%      14.859ms       3.363us           0 B           0 B     302.17 MB           0 B          4419  
                                             aten::mean         1.64%      34.764ms         2.58%      54.551ms      26.226us      14.127ms         2.64%      14.140ms       6.798us           0 B           0 B       1.02 MB       1.02 MB          2080  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      14.127ms         2.64%      14.127ms       6.792us           0 B           0 B           0 B           0 B          2080  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      12.630ms         2.36%      12.630ms       5.980us           0 B           0 B           0 B           0 B          2112  
void cublasLt::splitKreduce_kernel<32, 16, int, __ha...         0.00%       0.000us         0.00%       0.000us       0.000us      10.854ms         2.03%      10.854ms       5.471us           0 B           0 B           0 B           0 B          1984  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      10.113ms         1.89%      10.113ms       4.717us           0 B           0 B           0 B           0 B          2144  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.113s
Self CUDA time total: 534.505ms
